customer_id,acquisition_campaign_id,acquisition_channel,acquisition_date,first_product,second_product,initial_premium_euro,current_premium_euro,status,churn_date,churn_reason,total_premium_paid_euro,claims_count,claims_total_euro,last_renewal_date,next_renewal_date,segment,lifetime_months,customer_value_score
1019,10,Agentes,06/04/2023,Vida,,52.88,56.56,Active,,,1097.66,0,0,05/04/2024,05/04/2025,Soltero,21,100
1020,4,Digital,03/01/2023,Salud,,103.88,109.71,Active,,,2430.74,0,0,03/01/2024,02/01/2025,Pre-jubilación,24,100
1021,13,Telefónica,24/10/2023,Hogar,Salud,258.2,282.91,Active,,,3438.04,0,0,23/10/2024,23/10/2025,Joven,14,100
1022,20,Digital,04/01/2022,Salud,,93.46,98.59,Active,,,3362.57,1,910.43,04/01/2023,04/01/2024,Pre-jubilación,36,100
1023,3,Digital,02/03/2023,Hogar,,173.77,183.87,Churned,04/09/2023,Fallecimiento,998.05,0,0,,,Soltero,6,74
1024,1,Digital,20/10/2023,Hogar,Auto,225.91,233.37,Active,,,3138.77,0,0,19/10/2024,19/10/2025,Soltero,14,100
1025,3,Digital,23/02/2023,Vida,,74.29,80.74,Active,,,1591.44,0,0,23/02/2024,22/02/2025,Joven,22,100
1026,6,Digital,22/07/2022,Hogar,,94.77,99.73,Active,,,2802.16,0,0,22/07/2023,21/07/2024,Joven,29,100
1027,17,Partners,10/06/2023,Hogar,,189.13,193.47,Active,,,3513.42,2,6581.19,09/06/2024,09/06/2025,Familia Adulta,19,93
1028,5,Digital,23/06/2021,Auto,,266.48,291.55,Active,,,11652.21,0,0,23/06/2022,23/06/2023,Senior,42,100
1029,5,Digital,01/06/2022,Salud,,139.29,140.17,Active,,,4266.41,2,6347.18,01/06/2023,31/05/2024,Pre-jubilación,31,100
1030,3,Digital,14/04/2020,Vida,Auto,301.46,307.64,Active,,,16749.06,1,4323.41,14/04/2021,14/04/2022,Pre-jubilación,57,100
1031,19,Digital,01/01/2020,Vida,Salud,163.92,179.78,Active,,,10102.86,0,0,31/12/2020,31/12/2021,Familia Joven,60,100
1032,17,",Partners",16/09/2022,Vida,Auto,284.88,310.63,Active,,,7733.84,1,3364.9,16/09/2023,15/09/2024,Familia Joven,27,100
1033,6,Digital,24/08/2023,Salud,,111.89,118.98,Active,,,1708.91,1,798.06,23/08/2024,23/08/2025,Pre-jubilación,16,86
1034,16,Partners,20/04/2020,Vida,Salud,169.35,169.89,Churned,23/11/2021,Emigración,3146.39,0,0,,,Senior,19,100
1035,1,Digital,17/04/2022,Salud,,80.3,86.31,Churned,29/11/2022,Precio,562.75,0,0,,,Familia Joven,7,91
1036,20,Digital,30/06/2023,Vida,,69.07,75.25,Active,,,1212.51,0,0,29/06/2024,29/06/2025,Familia Joven,18,100
1037,11,Telefónica,19/01/2022,Salud,Hogar,172.85,186.49,Churned,25/08/2022,Precio,1177.66,1,2909.01,,,Senior,7,37
1038,18,Digital,18/04/2020,Vida,,75.21,77.05,Active,,,4349.55,0,0,18/04/2021,18/04/2022,Soltero,57,100
1039,13,Telefónica,10/11/2020,Vida,,40.45,42.11,Active,,,2084.47,0,0,10/11/2021,10/11/2022,Joven,50,100
1040,6,Digital,01/07/2021,Salud,,135.37,138.14,Active,,,5560.27,1,3072.26,01/07/2022,01/07/2023,Familia Adulta,42,100
1041,4,Digital,04/12/2023,Salud,,79.19,82.78,Active,,,1027.49,0,0,03/12/2024,03/12/2025,Familia Joven,13,84
1042,10,Agentes,17/09/2020,Auto,,256.84,259.58,Active,,,13237.99,0,0,17/09/2021,17/09/2022,Pre-jubilación,52,100
1043,12,Telefónica,13/11/2020,Salud,,86.4,87.81,Active,,,4441.62,0,0,13/11/2021,13/11/2022,Familia Joven,50,100
1044,5,Digital,25/12/2021,Hogar,,186.49,198.13,Active,,,6631.1,0,0,25/12/2022,25/12/2023,Familia Joven,36,100
1045,15,Partners,12/11/2022,Salud,,112.55,121.49,Active,,,2877.34,0,0,12/11/2023,11/11/2024,Familia Joven,26,100
1046,20,Digital,05/08/2023,Hogar,,167.77,173.51,Churned,14/08/2024,Fallecimiento,2012,0,0,,,Soltero,12,100
1047,13,Telefónica,16/03/2022,Vida,,47.65,49.3,Churned,27/07/2024,Competencia,1347.31,0,0,,,Familia Adulta,28,100
1048,10,Agentes,11/01/2020,Vida,Auto,225.59,238.96,Active,,,12882.87,0,0,10/01/2021,10/01/2022,Familia Adulta,60,100
1049,4,Digital,30/09/2022,Auto,,187.4,205.85,Churned,18/05/2023,Emigración,1356.45,0,0,,,Familia Joven,7,88
1050,1,Digital,23/02/2021,Hogar,,96.02,101.18,Active,,,4343.55,0,0,23/02/2022,23/02/2023,Familia Adulta,46,100
1051,6,Digital,15/03/2020,Vida,,84.25,89.58,Churned,06/07/2022,Precio,2339.88,0,0,,,Joven,28,100
1052,18,Digital,04/06/2020,Hogar,Vida,133.63,136.44,Active,,,7031.59,0,0,04/06/2021,04/06/2022,Familia Joven,55,100
1053,17,Partners,23/12/2021,Vida,,73.89,76.36,Active,,,2633.66,0,0,23/12/2022,23/12/2023,Pre-jubilación,36,100
1054,7,Agentes,24/02/2020,Hogar,,178.08,187.08,Active,,,10248.28,1,2982.75,23/02/2021,23/02/2022,Familia Joven,59,100
1055,15,Partners,23/11/2020,Salud,,127.67,133.05,Active,,,6197.03,2,2269.74,23/11/2021,23/11/2022,Soltero,49,100
1056,1,Digital,28/05/2021,Hogar,,154.93,168.27,Active,,,6696.77,0,0,28/05/2022,28/05/2023,Soltero,43,100
1057,12,Telefónica,03/05/2022,Vida,,69.25,76.06,Churned,07/04/2024,Precio,1613.91,0,0,,,Joven,23,100
1058,13,Telefónica,17/03/2021,Hogar,,179.66,179.85,Churned,21/07/2023,Precio,5141.14,0,0,,,Senior,28,100
1059,6,Digital,27/01/2020,Hogar,,153.06,156.82,Active,,,9604.93,1,2092.42,26/01/2021,26/01/2022,Joven,60,100
1060,11,Telefónica,28/05/2020,Vida,,83.14,84.49,Active,,,4358.47,1,1467.23,28/05/2021,28/05/2022,Familia Adulta,55,100
1061,11,Telefónica,21/06/2023,Hogar,,142.17,143.27,Active,,,2611.43,0,0,20/06/2024,20/06/2025,Soltero,18,100
1062,12,Telefónica,17/04/2020,Auto,Hogar,399.28,428.52,Active,,,21818.57,0,0,17/04/2021,17/04/2022,Familia Joven,57,100
1063,17,Partners,22/10/2021,Hogar,,143.84,144.33,Active,,,5698.23,1,3675.09,22/10/2022,22/10/2023,Soltero,38,100
1064,7,Agentes,20/09/2021,Vida,,98.26,104.65,Active,,,3958.33,0,0,20/09/2022,20/09/2023,Joven,39,100
1065,3,Digital,21/03/2023,Salud,,112.42,115.04,Active,,,2417,1,3477.45,20/03/2024,20/03/2025,Joven,21,100
1066,3,Digital,06/11/2020,Hogar,Auto,285.41,303.32,Churned,02/06/2021,Fallecimiento,1633.27,0,0,,,Familia Adulta,6,100
1067,10,Agentes,16/06/2023,Vida,,71.35,74.09,Active,,,1255.71,1,3150.99,15/06/2024,15/06/2025,Senior,18,39
1068,4,Digital,29/09/2023,Vida,,87.18,93.66,Active,,,1322.54,0,0,28/09/2024,28/09/2025,Joven,15,100
1069,8,Agentes,10/02/2022,Auto,,151.78,159.74,Churned,30/08/2024,Competencia,4925.74,1,760.29,,,Joven,31,100
1070,18,Digital,22/02/2021,Salud,,107.07,116.59,Churned,23/03/2023,Fallecimiento,2615.99,1,2260.26,,,Senior,25,100
1071,2,Digital,09/07/2022,Hogar,,99.57,100.66,Active,,,3053.79,0,0,09/07/2023,08/07/2024,Soltero,30,100
1072,5,Digital,06/03/2022,Auto,Vida,230.79,242.82,Active,,,7664.06,0,0,06/03/2023,05/03/2024,Pre-jubilación,34,100
1073,8,Agentes,01/12/2020,Vida,Salud,122.41,126.51,Active,,,6226.86,0,0,01/12/2021,01/12/2022,Senior,49,100
1074,4,Digital,22/03/2020,Salud,,85.45,92.11,Active,,,4895.03,0,0,22/03/2021,22/03/2022,Senior,58,100
1075,19,Digital,11/09/2023,Hogar,,159.59,170.9,Churned,20/09/2024,Cobertura,1832.3,0,0,,,Familia Joven,12,100
1076,1,Digital,04/06/2022,Vida,Hogar,229.9,238.44,Churned,16/12/2023,Cobertura,3940.37,0,0,,,Pre-jubilación,18,100
1077,11,Telefónica,04/08/2022,Hogar,,136.88,148.76,Churned,06/07/2023,Servicio,1442.8,0,0,,,Pre-jubilación,11,100
1078,12,Telefónica,06/11/2023,Vida,,94.57,96.75,Active,,,1300.27,0,0,05/11/2024,05/11/2025,Pre-jubilación,14,100
1079,17,Partners,01/04/2023,Hogar,,196.5,214.42,Active,,,4234.24,1,4301.52,31/03/2024,31/03/2025,Familia Joven,21,100
1080,3,Digital,12/01/2021,Vida,,40.07,42.41,Active,,,1858.31,0,0,12/01/2022,12/01/2023,Pre-jubilación,48,100
1081,2,Digital,26/04/2020,Hogar,,97.97,105.31,Active,,,5467.9,0,0,26/04/2021,26/04/2022,Senior,57,100
1082,12,Telefónica,04/02/2021,Auto,Salud,210.1,211.83,Active,,,9467.59,0,0,04/02/2022,04/02/2023,Senior,47,100
1083,20,Digital,11/08/2021,Salud,,86.07,92.17,Churned,10/04/2023,Precio,1737.69,1,4533,,,Joven,20,50
1084,8,Agentes,11/07/2023,Hogar,,98.81,103.15,Active,,,1684.25,1,3396.1,10/07/2024,10/07/2025,Soltero,17,55
1085,12,Telefónica,04/09/2022,Vida,Salud,144.37,147.67,Active,,,3857.88,0,0,04/09/2023,03/09/2024,Familia Adulta,28,100
1086,9,Agentes,07/10/2023,Salud,Auto,192.24,206.38,Active,,,2862.17,1,3842.18,06/10/2024,06/10/2025,Familia Adulta,15,100
1087,20,Digital,06/11/2023,Salud,,117.04,122.5,Active,,,1686.63,0,0,05/11/2024,05/11/2025,Soltero,14,100
1088,15,Partners,21/01/2020,Vida,,64.32,65.91,Active,,,3692.84,0,0,20/01/2021,20/01/2022,Joven,60,100
1089,15,",Partners",15/01/2021,Salud,,77.62,79.45,Active,,,3762.58,1,3147.86,15/01/2022,15/01/2023,Familia Adulta,48,100
1090,14,Partners,21/09/2021,Vida,,80.16,80.46,Active,,,3082.37,0,0,21/09/2022,21/09/2023,Familia Adulta,39,100
1091,5,Digital,17/11/2021,Salud,,105.71,106.13,Active,,,4212.46,0,0,17/11/2022,17/11/2023,Joven,38,100
1092,3,Digital,28/04/2020,Salud,,110.58,116.99,Active,,,6278.56,1,4783.15,28/04/2021,28/04/2022,Joven,56,100
1093,15,Partners,22/04/2023,Salud,,80.06,83.61,Active,,,1547.13,0,0,21/04/2024,21/04/2025,Senior,20,100
1094,15,Partners,31/05/2021,Vida,,90.29,98.58,Active,,,4049.65,1,636.74,31/05/2022,31/05/2023,Pre-jubilación,43,100
1095,19,Digital,21/10/2022,Auto,,148.67,157.1,Active,,,4007.11,0,0,21/10/2023,20/10/2024,Joven,26,100
1096,11,Telefónica,03/05/2021,Hogar,,178.86,188.6,Active,,,8120.11,0,0,03/05/2022,03/05/2023,Pre-jubilación,44,100
1097,15,Partners,25/12/2021,Salud,,100.43,106.66,Active,,,3440.13,0,0,25/12/2022,25/12/2023,Familia Joven,36,100
1098,9,Agentes,30/07/2022,Salud,,108.33,113.5,Active,,,3166.89,0,0,30/07/2023,29/07/2024,Familia Adulta,29,100
1099,16,Partners,12/02/2020,Salud,,111.7,112.83,Active,,,6889.86,0,0,11/02/2021,11/02/2022,Familia Adulta,59,100
1100,16,Partners,21/08/2022,Salud,,112.58,113.95,Active,,,3302.54,0,0,21/08/2023,20/08/2024,Soltero,28,100
1101,12,Telefónica,10/07/2023,Vida,,82.54,83.47,Active,,,1531.23,0,0,09/07/2024,09/07/2025,Joven,18,100
1102,9,Agentes,20/05/2020,Hogar,,189.65,205.79,Active,,,10410.07,0,0,20/05/2021,20/05/2022,Familia Joven,56,100
1103,10,Agentes,05/04/2023,Hogar,,106.83,113.31,Active,,,2251.32,0,0,04/04/2024,04/04/2025,Pre-jubilación,21,100
1104,11,Telefónica,29/03/2023,Vida,,75.67,80.91,Active,,,1577.63,0,0,28/03/2024,28/03/2025,Joven,21,100
1105,14,Partners,25/09/2022,Vida,,74.7,78.01,Active,,,1981.36,0,0,25/09/2023,24/09/2024,Familia Joven,27,100
1106,2,Digital,07/04/2022,Hogar,Vida,204.2,217.72,Active,,,6437.02,0,0,07/04/2023,06/04/2024,Familia Adulta,33,100
1107,3,Digital,17/05/2023,Hogar,,195.34,195.36,Active,,,3724.73,0,0,16/05/2024,16/05/2025,Pre-jubilación,19,100
1108,12,Telefónica,24/11/2023,Auto,,123.6,124.71,Active,,,1541.45,1,3522.01,23/11/2024,23/11/2025,Pre-jubilación,13,40
1109,1,Digital,10/03/2022,Salud,,75.05,78.03,Active,,,2512.44,0,0,10/03/2023,09/03/2024,Joven,34,100
1110,4,Digital,01/12/2023,Hogar,Salud,288.22,307.65,Active,,,3865.77,0,0,30/11/2024,30/11/2025,Familia Joven,13,100
1111,3,Digital,13/05/2020,Hogar,,109.09,110.61,Active,,,5884.42,1,4201.16,13/05/2021,13/05/2022,Pre-jubilación,56,100
1112,14,Partners,01/12/2020,Vida,,63.92,69.91,Churned,17/11/2022,Insatisfacción,1460.23,1,4846.2,,,Senior,23,11
1113,6,Digital,15/09/2022,Vida,Hogar,146.74,153.05,Active,,,4157.93,0,0,15/09/2023,14/09/2024,Senior,27,100
1114,9,Agentes,27/01/2023,Hogar,,157.99,166.31,Churned,03/11/2023,Insatisfacción,1375.48,0,0,,,Familia Adulta,9,100
1115,18,Digital,08/06/2023,Vida,,66.99,69.79,Active,,,1307.03,0,0,07/06/2024,07/06/2025,Pre-jubilación,19,100
1116,15,Partners,11/01/2022,Salud,,119.52,123.95,Active,,,4115.24,0,0,11/01/2023,11/01/2024,Familia Adulta,36,100
1117,11,Telefónica,11/05/2021,Salud,,109.06,119.49,Active,,,4739.05,0,0,11/05/2022,11/05/2023,Familia Adulta,44,100
1118,9,Agentes,16/09/2021,Vida,,96.57,102.72,Active,,,3971.41,0,0,16/09/2022,16/09/2023,Familia Adulta,40,100
1119,8,Agentes,12/03/2022,Hogar,,147.02,148.57,Active,,,5088.94,0,0,12/03/2023,11/03/2024,Senior,34,100
1120,5,Digital,06/11/2022,Salud,,149.33,159.19,Active,,,3848.39,0,0,06/11/2023,05/11/2024,Senior,26,100
1121,8,Agentes,07/10/2023,Vida,Salud,149.8,163.22,Churned,22/05/2024,Cobertura,1077.42,0,0,,,Joven,7,92
1122,4,Digital,28/05/2020,Vida,,76.11,77.82,Active,,,4118.5,0,0,28/05/2021,28/05/2022,Soltero,55,100
1123,14,Partners,02/05/2021,Salud,,89.26,95.99,Active,,,3843.16,0,0,02/05/2022,02/05/2023,Pre-jubilación,44,100
1124,8,Agentes,22/10/2021,Hogar,,125.21,126.86,Active,,,4866.3,0,0,22/10/2022,22/10/2023,Soltero,38,100
1125,20,Digital,07/04/2021,Hogar,Auto,315.01,342.64,Active,,,13616.71,0,0,07/04/2022,07/04/2023,Senior,45,100
1126,15,Partners,06/06/2023,Vida,,88.71,95.21,Churned,17/10/2024,Competencia,1392.45,0,0,,,Senior,16,100
1127,2,Digital,18/08/2020,Salud,,70.42,76.35,Active,,,3903.13,0,0,18/08/2021,18/08/2022,Joven,53,100
1128,19,Digital,29/12/2022,Auto,,226.75,227.41,Active,,,5548.41,0,0,29/12/2023,28/12/2024,Senior,24,100
1129,4,Digital,30/07/2022,Vida,,64.14,64.29,Churned,21/03/2023,Cobertura,453.62,0,0,,,Soltero,7,96
1130,17,Partners,03/07/2022,Salud,Vida,207.89,216.91,Active,,,6001.08,0,0,03/07/2023,02/07/2024,Joven,30,100
1131,20,Digital,15/03/2023,Vida,,86,94.42,Active,,,1747.8,0,0,14/03/2024,14/03/2025,Pre-jubilación,21,100
1132,11,Telefónica,30/08/2022,Vida,,56.38,58.99,Active,,,1637.6,0,0,30/08/2023,29/08/2024,Senior,28,100
1133,10,Agentes,18/02/2020,Auto,,283.69,305.01,Active,,,15996.71,0,0,17/02/2021,17/02/2022,Pre-jubilación,59,100
1134,4,Digital,11/09/2022,Vida,,42.68,42.95,Active,,,1236.12,1,2429.99,11/09/2023,10/09/2024,Pre-jubilación,28,75
1135,11,Telefónica,05/06/2023,Vida,,48.35,52.16,Active,,,933.79,0,0,04/06/2024,04/06/2025,Familia Adulta,19,100
1136,5,Digital,21/05/2020,Auto,,203.51,203.96,Active,,,11224.93,0,0,21/05/2021,21/05/2022,Joven,56,100
1137,4,Digital,20/09/2021,Salud,Hogar,183.71,199.27,Active,,,7313.54,0,0,20/09/2022,20/09/2023,Joven,39,100
1138,5,Digital,21/04/2022,Auto,,237.18,245.62,Active,,,7599.1,0,0,21/04/2023,20/04/2024,Familia Adulta,32,100
1139,19,Digital,02/09/2021,Hogar,Auto,352.44,387.16,Churned,13/03/2024,Emigración,10215.55,0,0,,,Pre-jubilación,30,100
1140,17,Partners,15/11/2022,Vida,Hogar,153.71,165.63,Active,,,3803.21,0,0,15/11/2023,14/11/2024,Familia Joven,25,100
1141,11,Telefónica,02/11/2020,Vida,,57.23,61.77,Active,,,2980.19,0,0,02/11/2021,02/11/2022,Soltero,50,100
1142,16,Partners,13/02/2022,Hogar,,105.48,114.79,Churned,15/04/2024,Cobertura,2870.71,1,4093.67,,,Familia Joven,26,100
1143,16,Partners,24/03/2022,Auto,,299.47,321.02,Active,,,9516.81,0,0,24/03/2023,23/03/2024,Senior,33,100
1144,5,Digital,18/07/2022,Auto,,256.72,277.99,Active,,,7262.11,1,1913.27,18/07/2023,17/07/2024,Pre-jubilación,29,100
1145,16,Partners,20/04/2021,Hogar,,105.62,108.3,Active,,,4682.6,1,3294.18,20/04/2022,20/04/2023,Senior,45,100
1146,20,Digital,15/10/2020,Hogar,Auto,301.06,316.49,Churned,11/05/2023,Insatisfacción,9183.88,0,0,,,Soltero,31,100
1147,3,Digital,22/05/2020,Hogar,,115.6,120.77,Churned,12/06/2021,Competencia,1439.16,0,0,,,Familia Joven,12,99
1148,14,Partners,03/07/2021,Hogar,,102.18 €,110.62,Churned,03/05/2024,Fallecimiento,3401.91,1,4362.54,,,Familia Joven,34,100
1149,9,Agentes,22/07/2023,Hogar,,159.11,162.95,Active,,,2628.65,0,0,21/07/2024,21/07/2025,Senior,17,100
1150,1,Digital,15/11/2020,Salud,,93.78 €,101.64,Churned,20/07/2021,Cobertura,779.66,1,3169.5,,,Senior,8,-32
1151,12,Telefónica,07/03/2021,Salud,,111.72,115.52,Active,,,4930.21,0,0,07/03/2022,07/03/2023,Senior,46,100
1152,8,Agentes,30/03/2022,Auto,,143.7,150.98,Churned,10/12/2022,Emigración,1146.52,1,1722.06,,,Joven,8,50
1153,6,Digital,15/01/2023,Vida,,61.71,65.36,Active,,,1376.22,1,2669.18,15/01/2024,14/01/2025,Familia Joven,23,54
1154,6,Digital,01/12/2021,Hogar,Auto,280.17,288.14,Churned,06/02/2024,Servicio,7122.57,0,0,,,Senior,26,100
1155,19,Digital,05/05/2022,Hogar,,94.93,101.71,Active,,,3004.43,0,0,05/05/2023,04/05/2024,Familia Joven,32,100
1156,16,Partners,15/07/2023,Vida,,97.24,100.97,Active,,,1612.89,1,4422.19,14/07/2024,14/07/2025,Familia Adulta,17,36
1157,4,Digital,30/09/2021,Salud,Vida,107.4,108.89,Active,,,4130.64,0,0,30/09/2022,30/09/2023,Familia Joven,39,100
1158,7,Agentes,13/12/2021,Hogar,,97.31,98.13,Churned,30/08/2022,Precio,762.52,0,0,,,Joven,8,100
1159,5,Digital,12/09/2022,Vida,,60.59,63.29,Active,,,1725.87,0,0,12/09/2023,11/09/2024,Joven,28,100
1160,12,Telefónica,13/07/2020,Auto,,228.19,238.02,Active,,,12167.86,0,0,13/07/2021,13/07/2022,Familia Adulta,54,100
1161,5,Digital,04/05/2023,Hogar,,161.04,170.38,Active,,,3191.7,0,0,03/05/2024,03/05/2025,Joven,20,100
1162,4,Digital,12/04/2022,Vida,,53.71,56.17,Churned,12/12/2023,Fallecimiento,1054.12,1,2279.45,,,Senior,20,50
1163,10,Agentes,25/06/2021,Auto,Salud,374.62,387.37,Active,,,15902.15,0,0,25/06/2022,25/06/2023,Pre-jubilación,42,100
1164,5,Digital,08/03/2020,Vida,,72.5,76.18,Active,,,4076.72,0,0,08/03/2021,08/03/2022,Joven,58,100
1165,12,Telefónica,17/01/2021,Vida,,72.69,76.83,Churned,28/11/2023,Servicio,2541.24,0,0,,,Familia Joven,34,100
1166,19,Digital,31/01/2022,Vida,,42.37,45.53,Active,,,1537.73,1,2900.24,31/01/2023,31/01/2024,Senior,35,100
1167,5,Digital,20/04/2021,Hogar,,106.37 €,112.35,Active,,,4960.55,0,0,20/04/2022,20/04/2023,Soltero,45,100
1168,15,Partners,10/02/2021,Salud,,128.06,134.16,Active,,,6073.71,0,0,10/02/2022,10/02/2023,Senior,47,100
1169,9,Agentes,25/05/2021,Vida,Salud,189.83,203.55,Active,,,8266.08,0,0,25/05/2022,25/05/2023,Soltero,43,100
1170,10,Agentes,24/06/2022,Salud,,96.67,96.81,Active,,,2781.22,1,4975.92,24/06/2023,23/06/2024,Pre-jubilación,30,100
1171,4,Digital,24/12/2022,Hogar,,174.58,175.01,Active,,,4184.77,1,898.72,24/12/2023,23/12/2024,Pre-jubilación,24,100
1172,3,Digital,03/01/2023,Salud,,125.82,135.82,Active,,,2902.81,0,0,03/01/2024,02/01/2025,Soltero,24,100
1173,2,Digital,13/10/2023,Vida,,57.72,60.89,Active,,,840.86,0,0,12/10/2024,12/10/2025,Senior,14,100
1174,13,Telefónica,12/03/2021,Salud,,79.83,84.92,Active,,,3718.17,0,0,12/03/2022,12/03/2023,Familia Adulta,46,100
1175,18,Digital,03/11/2022,Hogar,,147.22,153.14,Active,,,3826.42,0,0,03/11/2023,02/11/2024,Pre-jubilación,26,100
1176,17,Partners,17/09/2022,Salud,Hogar,202.64,214.09,Churned,19/08/2023,Cobertura,2197.93,0,0,,,Familia Joven,11,100
1177,4,Digital,03/03/2021,Hogar,,131.5,133.33,Churned,28/07/2023,Insatisfacción,3770.8,0,0,,,Familia Joven,29,100
1178,13,Telefónica,22/08/2020,Vida,,47.78,49.5,Active,,,2658.6,0,0,22/08/2021,22/08/2022,Joven,53,100
1179,7,Agentes,20/08/2023,Salud,,86.71,90.81,Churned,28/02/2024,Competencia,515.88,0,0,,,Soltero,6,86
1180,1,Digital,09/08/2022,Hogar,,192.39,209.52,Active,,,5561.51,1,3569.87,09/08/2023,08/08/2024,Joven,29,100
1181,11,Telefónica,29/06/2023,Salud,Hogar,184.19,189.11,Churned,05/04/2024,Competencia,1595.48,0,0,,,Soltero,9,100
1182,11,Telefónica,24/06/2021,Hogar,Salud,241.6,250.49,Active,,,10421.48,1,576.26,24/06/2022,24/06/2023,Pre-jubilación,42,100
1183,6,Digital,15/12/2023,Salud,,129.12,135.04,Active,,,1574.72,0,0,14/12/2024,14/12/2025,Senior,12,100
1184,4,Digital,22/05/2023,Hogar,,142.07,149.61,Active,,,2831.74,0,0,21/05/2024,21/05/2025,Senior,19,100
1185,18,Digital,06/09/2022,Salud,,86.4,88.64,Active,,,2535.68,1,1743.07,06/09/2023,05/09/2024,Familia Adulta,28,100
1186,15,Partners,08/12/2022,Auto,,131.2,136.65,Churned,10/06/2023,Cobertura,783.06,0,0,,,Pre-jubilación,6,75
1187,2,Digital,25/02/2021,Vida,,80.78,84.67,Active,,,3690.79,0,0,25/02/2022,25/02/2023,Pre-jubilación,46,100
1188,11,Telefónica,07/05/2021,Hogar,Auto,321.66,336.42,Churned,18/03/2024,Cobertura,11012.37,1,4915.15,,,Familia Joven,34,100
1189,19,",Digital",30/09/2020,Vida,Hogar,222.9,229.81,Active,,,11660.43,1,4897.89,30/09/2021,30/09/2022,Senior,51,100
1190,11,Telefónica,12/04/2022,Hogar,Salud,168.27,171.26,Active,,,5398.57,1,3354.64,12/04/2023,11/04/2024,Familia Adulta,33,100
1191,16,Partners,31/03/2021,Vida,,41.75,43.76,Active,,,1957.58,0,0,31/03/2022,31/03/2023,Familia Joven,45,100
1192,20,Digital,06/09/2022,Hogar,,129.28,140.24,Active,,,3568.74,0,0,06/09/2023,05/09/2024,Familia Adulta,28,100
1193,13,Telefónica,17/12/2022,Auto,Hogar,217.31,226.6,Active,,,5450.46,0,0,17/12/2023,16/12/2024,Senior,24,100
1194,19,Digital,10/08/2021,Vida,,93.65,95.56,Active,,,3838.53,0,0,10/08/2022,10/08/2023,Familia Adulta,41,100
1195,16,Partners,06/07/2021,Vida,,52.42,54.27,Active,,,2270.28,0,0,06/07/2022,06/07/2023,Senior,42,100
1196,3,Digital,24/10/2022,Salud,,93.2,98.07,Active,,,2445.17,0,0,24/10/2023,23/10/2024,Familia Adulta,26,100
1197,10,Agentes,12/10/2023,Vida,Salud,120.14,123.78,Active,,,1709.38,0,0,11/10/2024,11/10/2025,Joven,14,100
1198,5,Digital,02/12/2021,Hogar,,189.21,197.06,Active,,,7113.62,1,3157.87,02/12/2022,02/12/2023,Familia Joven,37,100
